"","AF","address","university","department","short_address","postal_code","country"
"5847","Gyenge, Javier","CONICET INTA EEA Bariloche, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","CONICET INTA EEA Bariloche"," RA-8400 San Carlos De Bariloche"," Rio Negro, Argentina.",NA,"Argentina"
"5848","de Souza, A. A.","Univ Fed Lavras, Dept Ciencias Exatas, BR-37200000 Lavras, MG, Brazil.","Univ Fed Lavras"," Dept Ciencias Exatas"," BR-37200000 Lavras, MG, Brazil.","BR-37200000","Brazil"
"5849","Martins, S. G. F.","Univ Fed Lavras, Dept Ciencias Exatas, BR-37200000 Lavras, MG, Brazil.","Univ Fed Lavras"," Dept Ciencias Exatas"," BR-37200000 Lavras, MG, Brazil.","BR-37200000","Brazil"
"5850","Zacarias, M. S.","Embrapa Caf Ecoctr, BR-37200000 Lavras, MG, Brazil.","Embrapa Caf Ecoctr"," BR-37200000 Lavras"," MG, Brazil.",NA,"Brazil"
"5851","Dvorak, William","N Carolina State Univ, Cent Amer & Mexico Coniferous Resources Cooperat, Raleigh, NC 27695 USA.","N Carolina State Univ"," Cent Amer & Mexico Coniferous Resources Cooperat"," Raleigh, NC 27695 USA."," 27695","USA"
"5852","Jarvis, Andy","Amer Off, Cali, Colombia.","Amer Off"," Cali"," Colombia.",NA,"Colombia"
"5853","Leibing, Christoph","Univ Hamburg, Zentrum Holzwirtschaft, D-21031 Hamburg, Germany.","Univ Hamburg"," Zentrum Holzwirtschaft"," D-21031 Hamburg, Germany.","D-2103","Germany"
"5854","Lema, German","Int Ctr Trop Agr CIAT, Cali, Colombia.","Int Ctr Trop Agr CIAT"," Cali"," Colombia.",NA,"Colombia"
"5855","van Zonneveld, Maarten","Amer Off, Cali, Colombia.","Amer Off"," Cali"," Colombia.",NA,"Colombia"
"5856","de Barros Ferraz, Silvio Frosini","Univ Sao Paulo, Dept Ciencias Florestais, Escola Super Agr Luiz de Queiroz, BR-13418900 Piracicaba, SP, Brazil.","Univ Sao Paulo"," Dept Ciencias Florestais"," Escola Super Agr Luiz de Queiroz, BR-13418900 Piracicaba, SP, Brazil.","BR-13418900","Brazil"
"5857","Theobald, David M.","Colorado State Univ, Dept Human Dimens Nat Resources, Ft Collins, CO 80523 USA.","Colorado State Univ"," Dept Human Dimens Nat Resources"," Ft Collins, CO 80523 USA."," 80523","USA"
"5858","Vettorazzi, Carlos Alberto","Univ Sao Paulo, Dept Engn Rural, Escola Super Agr Luiz de Queiroz, BR-13418900 Piracicaba, SP, Brazil.","Univ Sao Paulo"," Dept Engn Rural"," Escola Super Agr Luiz de Queiroz, BR-13418900 Piracicaba, SP, Brazil.","BR-13418900","Brazil"
"5859","Cardoso, Luciana de Souza","Univ Fed Rio Grande do Sul, Inst Biociencias, BR-91501970 Porto Alegre, RS, Brazil.","Univ Fed Rio Grande do Sul"," Inst Biociencias"," BR-91501970 Porto Alegre, RS, Brazil.","BR-91501970","Brazil"
"5860","Marques, David da Motta","IPH UFRGS, Inst Pesquisas Hidraulicas, BR-91501970 Porto Alegre, RS, Brazil.","IPH UFRGS"," Inst Pesquisas Hidraulicas"," BR-91501970 Porto Alegre, RS, Brazil.","BR-91501970","Brazil"
"5861","Cordoba-Aguilar, Alex","Univ Nacl Autonoma Mexico, Dept Ecol Evolut, Inst Ecol, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Dept Ecol Evolut"," Inst Ecol, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5862","Bede, Lucio","Conservacao Int, BR-30112021 Belo Horizonte, MG, Brazil.","Conservacao Int"," BR-30112021 Belo Horizonte"," MG, Brazil.",NA,"Brazil"
"5863","Cassano, Camila R.","IESB, BR-45652180 Ilheus, BA, Brazil.","IESB"," BR-45652180 Ilheus"," BA, Brazil.",NA,"Brazil"
"5864","Delabie, Jacques H. C.","Convenio UESC CEPLAC, Ctr Pesquisas Cacau, Lab Mirmecol, BR-45600000 Itabuna, BA, Brazil.","Convenio UESC CEPLAC"," Ctr Pesquisas Cacau"," Lab Mirmecol, BR-45600000 Itabuna, BA, Brazil.","BR-45600000","Brazil"
"5865","Faria, Deborah","Univ Estadual Santa Cruz, Dept Ciencias Biol, BR-45650000 Ilheus, BA, Brazil.","Univ Estadual Santa Cruz"," Dept Ciencias Biol"," BR-45650000 Ilheus, BA, Brazil.","BR-45650000","Brazil"
"5866","Schroth, Goetz","Conservat Int, Arlington, VA 22202 USA.","Conservat Int"," Arlington"," VA 22202 USA."," 22202","USA"
"5867","Antonio Gomez-Anaya, Jose","Inst Ecol, Dept Entomol, AC, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Entomol"," AC, Xalapa 91070, Veracruz, Mexico."," 91070","Mexico"
"5868","Novelo-Gutierrez, Rodolfo","Inst Ecol, Dept Entomol, AC, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Entomol"," AC, Xalapa 91070, Veracruz, Mexico."," 91070","Mexico"
"5869","Duca, Charles","Univ Brasilia, Dept Ecol, BR-70910900 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Ecol"," BR-70910900 Brasilia, DF, Brazil.","BR-70910900","Brazil"
"5870","Marini, Miguel A.","Univ Brasilia, Dept Zool, BR-70910900 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Zool"," BR-70910900 Brasilia, DF, Brazil.","BR-70910900","Brazil"
"5871","Possingham, Hugh P.","Univ Queensland, Ctr Ecol, Brisbane, Qld 4072, Australia.","Univ Queensland"," Ctr Ecol"," Brisbane, Qld 4072, Australia.","Qld 4072","Australia"
"5872","Yokomizo, Hiroyuki","CSIRO, Sustainable Ecosyst, St Lucia, Qld 4067, Australia.","CSIRO"," Sustainable Ecosyst"," St Lucia, Qld 4067, Australia.","Qld 4067","Australia"
"5873","Balart, Eduardo F.","Ctr Invest Biol Noroeste, La Paz 23090, Baja California, Mexico.","Ctr Invest Biol Noroeste"," La Paz 23090"," Baja California, Mexico.",NA,"Mexico"
"5874","Campos-Davila, Lucia","Ctr Invest Biol Noroeste, La Paz 23090, Baja California, Mexico.","Ctr Invest Biol Noroeste"," La Paz 23090"," Baja California, Mexico.",NA,"Mexico"
"5875","Monteforte, Mario","Ctr Invest Biol Noroeste, La Paz 23090, Baja California, Mexico.","Ctr Invest Biol Noroeste"," La Paz 23090"," Baja California, Mexico.",NA,"Mexico"
"5876","Ortega-Rubio, Alfredo","Ctr Invest Biol Noroeste, La Paz 23090, Baja California, Mexico.","Ctr Invest Biol Noroeste"," La Paz 23090"," Baja California, Mexico.",NA,"Mexico"
"5877","Perez-Urbiola, Juan Carlos","Ctr Invest Biol Noroeste, La Paz 23090, Baja California, Mexico.","Ctr Invest Biol Noroeste"," La Paz 23090"," Baja California, Mexico.",NA,"Mexico"
"5878","Laurance, William F.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"5879","Chazdon, Robin L.","Univ Connecticut, Dept Ecol & Evolutionary Biol, Storrs, CT 06269 USA.","Univ Connecticut"," Dept Ecol & Evolutionary Biol"," Storrs, CT 06269 USA."," 06269","USA"
"5880","Ferguson, Bruce G.","Colegio Frontera Sur, Dept Agroecol, San Cristobal de las Casa, Chiapas, Mexico.","Colegio Frontera Sur"," Dept Agroecol"," San Cristobal de las Casa, Chiapas, Mexico.",NA,"Mexico"
"5881","Griffith, Daniel M.","Biodivers BOSAWAS Biosphere Reserve, Managua, Nicaragua.","Biodivers BOSAWAS Biosphere Reserve"," Managua"," Nicaragua.",NA,"Nicaragua"
"5882","Harvey, Celia A.","Conservat Int, Arlington, VA 22202 USA.","Conservat Int"," Arlington"," VA 22202 USA."," 22202","USA"
"5883","Komar, Oliver","SalvaNATURA, Programa Ciencias Conservac, San Salvador, El Salvador.","SalvaNATURA"," Programa Ciencias Conservac"," San Salvador, El Salvador.",NA,"El Salvador"
"5884","Martinez-Ramos, Miguel","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico"
"5885","Morales, Helda","Colegio Frontera Sur, Dept Agroecol, San Cristobal de las Casa, Chiapas, Mexico.","Colegio Frontera Sur"," Dept Agroecol"," San Cristobal de las Casa, Chiapas, Mexico.",NA,"Mexico"
"5886","Nigh, Ronald","Ctr Invest & Estudios Super Antropol Social, San Cristobal de las Casa, Chiapas, Mexico.","Ctr Invest & Estudios Super Antropol Social"," San Cristobal de las Casa"," Chiapas, Mexico.",NA,"Mexico"
"5887","Philpott, Stacy M.","Univ Toledo, Dept Environm Sci, Toledo, OH 43606 USA.","Univ Toledo"," Dept Environm Sci"," Toledo, OH 43606 USA."," 43606","USA"
"5888","Soto-Pinto, Lorena","Colegio Frontera Sur, Dept Agroecol, San Cristobal de las Casa, Chiapas, Mexico.","Colegio Frontera Sur"," Dept Agroecol"," San Cristobal de las Casa, Chiapas, Mexico.",NA,"Mexico"
"5889","van Breugel, Michiel","Smithsonian Trop Forest Res Inst, Ctr Trop Forest Sci, Unit 0948, APO, AA 34002 USA.","Smithsonian Trop Forest Res Inst"," Ctr Trop Forest Sci"," Unit 0948, APO, AA 34002 USA."," 34002","USA"
"5890","Maes dos Santos, Flavio Antonio",NA,NA,NA,NA,NA,NA
"5891","Fonseca, Marisa Gesteira","Univ Estadual Campinas, Dept Bot, Inst Biol, Programa Posgrad Biol Vegetal, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," Dept Bot"," Inst Biol, Programa Posgrad Biol Vegetal, BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
"5892","Vidal, Edson","Inst Homem & Meio Ambiente Amazonia IMAZON, BR-66060160 Belem, Para, Brazil.","Inst Homem & Meio Ambiente Amazonia IMAZON"," BR-66060160 Belem"," Para, Brazil.",NA,"Brazil"
"5893","Bongers, Frans","Wageningen Univ, Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","Wageningen Univ"," Forest Ecol & Forest Management Grp"," NL-6700 AA Wageningen, Netherlands.","NL-6700","Netherlands"
"5894","Brienen, Roel J. W.","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico"
"5895","Lebrija-Trejos, Edwin","Wageningen Univ, Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","Wageningen Univ"," Forest Ecol & Forest Management Grp"," NL-6700 AA Wageningen, Netherlands.","NL-6700","Netherlands"
"5896","Martinez-Ramos, Miguel","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico"
"5897","Meave, Jorge A.","Univ Nacl Autonoma Mexico, Fac Ciencias, Dept Ecol & Recursos Nat, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Fac Ciencias"," Dept Ecol & Recursos Nat, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5898","Perez-Garcia, Eduardo A.","Univ Nacl Autonoma Mexico, Fac Ciencias, Dept Ecol & Recursos Nat, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Fac Ciencias"," Dept Ecol & Recursos Nat, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5899","van Breugel, Michiel","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico"
"5900","Gomez, Nelida","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"5901","Herre, Edward A.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"5902","Rojas, Enith I.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"5903","Valencia, Mariana C.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"5904","Van Bael, Sunshine A.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"5905","Windsor, Donald M.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"5906","Ackerman, Ilse L.","Cornell Univ, Dept Crop & Soil Sci, Ithaca, NY 14853 USA.","Cornell Univ"," Dept Crop & Soil Sci"," Ithaca, NY 14853 USA."," 14853","USA"
"5907","Constantino, Reginaldo","Univ Brasilia, Dept Zool, BR-70910970 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Zool"," BR-70910970 Brasilia, DF, Brazil.","BR-70910970","Brazil"
"5908","Fernandes, Erick C. M.","Cornell Univ, Dept Crop & Soil Sci, Ithaca, NY 14853 USA.","Cornell Univ"," Dept Crop & Soil Sci"," Ithaca, NY 14853 USA."," 14853","USA"
"5909","Gauch, Hugh G., Jr.","Cornell Univ, Dept Crop & Soil Sci, Ithaca, NY 14853 USA.","Cornell Univ"," Dept Crop & Soil Sci"," Ithaca, NY 14853 USA."," 14853","USA"
"5910","Lehmann, Johannes","Cornell Univ, Dept Crop & Soil Sci, Ithaca, NY 14853 USA.","Cornell Univ"," Dept Crop & Soil Sci"," Ithaca, NY 14853 USA."," 14853","USA"
"5911","Riha, Susan J.","Cornell Univ, Dept Earth & Atmospher Sci, Ithaca, NY 14853 USA.","Cornell Univ"," Dept Earth & Atmospher Sci"," Ithaca, NY 14853 USA."," 14853","USA"
"5912","Sasa, Mahmood","Univ Costa Rica, Inst Clodomiro Picado, San Jose, Costa Rica.","Univ Costa Rica"," Inst Clodomiro Picado"," San Jose, Costa Rica.",NA,"Costa Rica"
"5913","Wasko, Dennis K.","Univ Miami, Dept Biol, Cox Sci Ctr, Coral Gables, FL 33124 USA.","Univ Miami"," Dept Biol"," Cox Sci Ctr, Coral Gables, FL 33124 USA."," 33124","USA"
"5914","Frey, Jennifer K.","New Mexico State Univ, Dept Fish Wildlife & Conservat Ecol, Las Cruces, NM 88003 USA.","New Mexico State Univ"," Dept Fish Wildlife & Conservat Ecol"," Las Cruces, NM 88003 USA."," 88003","USA"
"5915","Fonseca, Carlos Roberto","Univ Vale Rio dos Sinos, Lab Plant Anim Interact, BR-93022000 Sao Leopoldo, Rio Grande Sul, Brazil.","Univ Vale Rio dos Sinos"," Lab Plant Anim Interact"," BR-93022000 Sao Leopoldo, Rio Grande Sul, Brazil.","BR-93022000","Brazil"
"5916","Guadagnin, Demetrio Luis","Univ Vale Rio dos Sinos, Lab Ecol & Conservat Aquat Ecosyst, BR-93022000 Sao Leopoldo, Rio Grande Sul, Brazil.","Univ Vale Rio dos Sinos"," Lab Ecol & Conservat Aquat Ecosyst"," BR-93022000 Sao Leopoldo, Rio Grande Sul, Brazil.","BR-93022000","Brazil"
"5917","Maltchik, Leonardo","Univ Vale Rio dos Sinos, Lab Ecol & Conservat Aquat Ecosyst, BR-93022000 Sao Leopoldo, Rio Grande Sul, Brazil.","Univ Vale Rio dos Sinos"," Lab Ecol & Conservat Aquat Ecosyst"," BR-93022000 Sao Leopoldo, Rio Grande Sul, Brazil.","BR-93022000","Brazil"
"5918","Baker, Justin","Duke Univ, Ctr Global Change, Durham, NC 27708 USA.","Duke Univ"," Ctr Global Change"," Durham, NC 27708 USA."," 27708","USA"
"5919","Jackson, Robert B.","Duke Univ, Dept Biol, Durham, NC 27708 USA.","Duke Univ"," Dept Biol"," Durham, NC 27708 USA."," 27708","USA"
"5920","Jobbagy, Esteban G.","Univ Nacl San Luis, CONICET, IMASL, RA-5700 San Luis, Argentina.","Univ Nacl San Luis"," CONICET"," IMASL, RA-5700 San Luis, Argentina.","RA-5700","Argentina"
"5921","Murray, Brian C.","Duke Univ, Nicholas Inst Environm Policy Solut, Durham, NC 27708 USA.","Duke Univ"," Nicholas Inst Environm Policy Solut"," Durham, NC 27708 USA."," 27708","USA"
"5922","Pineiro, Gervasio","Duke Univ, Dept Biol, Durham, NC 27708 USA.","Duke Univ"," Dept Biol"," Durham, NC 27708 USA."," 27708","USA"
"5923","Bertness, Mark D.","Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA.","Brown Univ"," Dept Ecol & Evolutionary Biol"," Providence, RI 02912 USA."," 02912","USA"
"5924","Farina, Jose M.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Santiago, Chile.","Pontificia Univ Catolica Chile"," Ctr Adv Studies Ecol & Biodivers"," Santiago, Chile.",NA,"Chile"
"5925","Silliman, Brian R.","Univ Florida, Dept Zool, Gainesville, FL 32611 USA.","Univ Florida"," Dept Zool"," Gainesville, FL 32611 USA."," 32611","USA"
"5926","Kennedy, Brian P.","Univ Idaho, Dept Fish & Wildlife Resources, Moscow, ID 83844 USA.","Univ Idaho"," Dept Fish & Wildlife Resources"," Moscow, ID 83844 USA."," 83844","USA"
"5927","Lorion, Christopher M.","Univ Idaho, Dept Fish & Wildlife Resources, Moscow, ID 83844 USA.","Univ Idaho"," Dept Fish & Wildlife Resources"," Moscow, ID 83844 USA."," 83844","USA"
"5928","Aguirre-Hernandez, Rebeca","Univ Nacl Autonoma Mexico, Fac Med, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Fac Med"," Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5929","Olson, Mark E.","Univ Nacl Autonoma Mexico, Inst Biol, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Inst Biol"," Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5930","Rosell, Julieta A.","Univ Nacl Autonoma Mexico, Inst Biol, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Inst Biol"," Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5931","Ramires, M.","Univ Estadual Campinas, NEPAM, Campinas, SP, Brazil.","Univ Estadual Campinas"," NEPAM"," Campinas, SP, Brazil.",NA,"Brazil"
"5932","Silvano, R. A. M.","Dept Ecol UFRGS, BR-91501970 Porto Alegre, RS, Brazil.","Dept Ecol UFRGS"," BR-91501970 Porto Alegre"," RS, Brazil.",NA,"Brazil"
"5933","Zuanon, J.","CPBA INPA, Manaus, Amazonas, Brazil.","CPBA INPA"," Manaus"," Amazonas, Brazil.",NA,"Brazil"
"5934","Cazetta, Eliana","Univ Estadual Paulista UNESP, Dept Ecol, Plant Phenol & Seed Dispersal Res Grp, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista UNESP"," Dept Ecol"," Plant Phenol & Seed Dispersal Res Grp, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil"
"5935","Galetti, Mauro","Univ Estadual Paulista UNESP, Dept Ecol, Plant Phenol & Seed Dispersal Res Grp, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista UNESP"," Dept Ecol"," Plant Phenol & Seed Dispersal Res Grp, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil"
"5936","Galetti, Mauro","Univ Estadual Paulista UNESP, Dept Ecol, Plant Phenol & Seed Dispersal Res Grp, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista UNESP"," Dept Ecol"," Plant Phenol & Seed Dispersal Res Grp, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil"
"5937","Schaefer, Hinrich Martin","Univ Freiburg, Fac Biol, D-79104 Freiburg, Germany.","Univ Freiburg"," Fac Biol"," D-79104 Freiburg, Germany.","D-7910","Germany"
"5938","Felizola Diniz-Filho, Jose Alexandre","Univ Fed Goias, Dept Biol Geral, ICB, BR-74001970 Goiania, Go, Brazil.","Univ Fed Goias"," Dept Biol Geral"," ICB, BR-74001970 Goiania, Go, Brazil.","BR-74001970","Brazil"
"5939","Rangel, Thiago Fernando L. V. B.","Univ Connecticut, Dept Ecol & Evolutionary Biol, Storrs, CT 06269 USA.","Univ Connecticut"," Dept Ecol & Evolutionary Biol"," Storrs, CT 06269 USA."," 06269","USA"
"5940","Rodriguez, Miguel Angel","Univ Alcala de Henares, Dept Ecol, Alcala De Henares 28871, Spain.","Univ Alcala de Henares"," Dept Ecol"," Alcala De Henares 28871, Spain."," 28871","Spain"
"5941","Terribile, Levi Carina","Univ Brasilia, Programa Posgrad Biol Anim, BR-70910900 Brasilia, DF, Brazil.","Univ Brasilia"," Programa Posgrad Biol Anim"," BR-70910900 Brasilia, DF, Brazil.","BR-70910900","Brazil"
"5942","Berg, David J.","Miami Univ, Dept Zool, Hamilton, OH 45011 USA.","Miami Univ"," Dept Zool"," Hamilton, OH 45011 USA."," 45011","USA"
"5943","Lang, Brian K.","New Mexico Dept Game & Fish, Conservat Serv Div, Santa Fe, NM 87507 USA.","New Mexico Dept Game & Fish"," Conservat Serv Div"," Santa Fe, NM 87507 USA."," 87507","USA"
"5944","Sei, Makiri","Miami Univ, Dept Zool, Oxford, OH 45056 USA.","Miami Univ"," Dept Zool"," Oxford, OH 45056 USA."," 45056","USA"
"5945","Cavalcanti, Mauro J.","Ecoinformat Studio, BR-20551970 Rio De Janeiro, Brazil.","Ecoinformat Studio"," BR-20551970 Rio De Janeiro"," Brazil.",NA,"Brazil"
"5946","Amico, Guillermo C.","Univ Nacl Comahue, CRUB, Lab Ecotono, San Carlos De Bariloche, Rio Negro, Argentina.","Univ Nacl Comahue"," CRUB"," Lab Ecotono, San Carlos De Bariloche, Rio Negro, Argentina.",NA,"Argentina"
"5947","Garcia, Daniel","Univ Oviedo, CSIC, Univ Oviedo Principado Asturias, Inst Cantabr Biodiversidad,Dept Biol Organismos &, E-33071 Oviedo, Asturias, Spain.","Univ Oviedo"," CSIC"," Univ Oviedo Principado Asturias, Inst Cantabr Biodiversidad,Dept Biol Organismos &, E-33071 Oviedo, Asturias, Spain.","E-3307","Spain"
"5948","Rodriguez-Cabal, Mariano A.","Univ Nacl Comahue, CRUB, Lab Ecotono, San Carlos De Bariloche, Rio Negro, Argentina.","Univ Nacl Comahue"," CRUB"," Lab Ecotono, San Carlos De Bariloche, Rio Negro, Argentina.",NA,"Argentina"
"5949","Almarales-Castro, Abel","Ctr Oriental Ecosistemas & Biodiversidad BIOECO, Museo Hist Nat Tomas Romay, Santiago De Cuba, Cuba.","Ctr Oriental Ecosistemas & Biodiversidad BIOECO"," Museo Hist Nat Tomas Romay"," Santiago De Cuba, Cuba.",NA,"Cuba"
"5950","Fenster, Charles B.","Univ Maryland, Behav Ecol Evolut & Systemat Program, College Pk, MD 20742 USA.","Univ Maryland"," Behav Ecol Evolut & Systemat Program"," College Pk, MD 20742 USA."," 20742","USA"
"5951","Marten-Rodriguez, Silvana","Univ Maryland, Behav Ecol Evolut & Systemat Program, College Pk, MD 20742 USA.","Univ Maryland"," Behav Ecol Evolut & Systemat Program"," College Pk, MD 20742 USA."," 20742","USA"
"5952","Antonio Cruz-Rodriguez, Juan","Univ Autonoma Chapingo, Dept Agroecol, Texcoco 56230, Estado Mexico, Mexico.","Univ Autonoma Chapingo"," Dept Agroecol"," Texcoco 56230, Estado Mexico, Mexico."," 56230","Mexico"
"5953","Lopez-Mata, Lauro","Colegio Postgrad, Programa Bot, Texcoco 56230, Estado Mexico, Mexico.","Colegio Postgrad"," Programa Bot"," Texcoco 56230, Estado Mexico, Mexico."," 56230","Mexico"
"5954","Valverde, Teresa","Univ Nacl Autonoma Mexico, Fac Ciencias, Dept Ecol & Recursos Nat, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Fac Ciencias"," Dept Ecol & Recursos Nat, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"5955","Harms, Kyle E.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"5956","Paine, C. E. Timothy","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"5957","Ramos, Jesus","Asociac Conservac Cuenca Amazon, Jiron Cusco 499, Puerto Maldonad, Peru.","Asociac Conservac Cuenca Amazon"," Jiron Cusco 499"," Puerto Maldonad, Peru.",NA,"Peru"
"5958","Galindo-Gonzalez, Jorge","Univ Veracruzana, INBIOTECA, Xalapa 91001, Ver, Mexico.","Univ Veracruzana"," INBIOTECA"," Xalapa 91001, Ver, Mexico."," 91001","Mexico"
"5959","Hernandez-Montero, Jesus R.","Univ Veracruzana, INBIOTECA, Xalapa 91001, Ver, Mexico.","Univ Veracruzana"," INBIOTECA"," Xalapa 91001, Ver, Mexico."," 91001","Mexico"
"5960","Saldana-Vazquez, Romeo A.","AC, Inst Ecol, Xalapa 91000, Ver, Mexico.","AC"," Inst Ecol"," Xalapa 91000, Ver, Mexico."," 91000","Mexico"
"5961","Vazquez-Dominguez, Guillermo","Univ Veracruzana, INBIOTECA, Xalapa 91001, Ver, Mexico.","Univ Veracruzana"," INBIOTECA"," Xalapa 91001, Ver, Mexico."," 91001","Mexico"
"5962","Bieber, Ana G. D.","Univ Fed Pernambuco, Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Programa Posgrad Biol Vegetal"," BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"5963","Leal, Inara R.","Univ Fed Pernambuco, Dept Bot, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"5964","Silva, Paulo S. D.","Univ Fed Pernambuco, Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Programa Posgrad Biol Vegetal"," BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"5965","Tabarelli, Marcelo","Univ Fed Pernambuco, Dept Bot, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"5966","Wirth, Rainer","Univ Kaiserslautern, Dept Plant Ecol & Systemat, D-67653 Kaiserslautern, Germany.","Univ Kaiserslautern"," Dept Plant Ecol & Systemat"," D-67653 Kaiserslautern, Germany.","D-6765","Germany"
"5967","Cassini, M. H.","Org PROFAUNA, RA-1043 Buenos Aires, DF, Argentina.","Org PROFAUNA"," RA-1043 Buenos Aires"," DF, Argentina.",NA,"Argentina"
"5968","Chehebar, C.","Adm Parques Nacl, Delegac Reg Patagonia, San Carlos De Bariloche, Rio Negro, Argentina.","Adm Parques Nacl"," Delegac Reg Patagonia"," San Carlos De Bariloche, Rio Negro, Argentina.",NA,"Argentina"
"5969","Fasola, L.","Org PROFAUNA, RA-1043 Buenos Aires, DF, Argentina.","Org PROFAUNA"," RA-1043 Buenos Aires"," DF, Argentina.",NA,"Argentina"
"5970","Macdonald, D. W.","Univ Oxford, Dept Zool, Wildlife Conservat Res Unit, Tubney, Oxon, England.","Univ Oxford"," Dept Zool"," Wildlife Conservat Res Unit, Tubney, Oxon, England.",NA,NA
