"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Weisser, WW_2","WOS:000373565900020
","Tech Univ Munich, Ctr Life & Food Sci Weihenstephan, Dept Ecol & Ecosyst Management, Terr Ecol Res Grp, Hans Carl von Carlowitz Pl 2, D-85354 Freising Weihenstephan, Germany.","","","Weisser,Wolfgang/B-9718-2014","Weisser, Wolfgang/0000-0002-2757-8959",2
"Gossner, MM_1","WOS:000373565900020
","Tech Univ Munich, Ctr Life & Food Sci Weihenstephan, Dept Ecol & Ecosyst Management, Terr Ecol Res Grp, Hans Carl von Carlowitz Pl 2, D-85354 Freising Weihenstephan, Germany.","","","Gossner,MartinM./J-2730-2015","Gossner,MartinM./0000-0003-1516-6364",3
"Joseph, MB_1","WOS:000373565900021
","Univ Colorado, Dept Ecol & Evolutionary Biol, Boulder, CO 80309 USA.","Univ Colorado, Dept Ecol & Evolutionary Biol, Boulder, CO 80309 USA.","","","",1
"Preston, DL_1","WOS:000373565900021
","Oregon State Univ, Dept Integrat Biol, Corvallis, OR 97331 USA.","","","","",2
"Johnson, PTJ_1","WOS:000373565900021
","Univ Colorado, Dept Ecol & Evolutionary Biol, Boulder, CO 80309 USA.","","","","",3
"Chen, YX_1","WOS:000373565900022
","Sun Yat Sen Univ, Dept Ecol, Sch Life Sci, State Key Lab Biocontrol, Guangzhou 510275, Guangdong, Peoples R China.","","","","Chen,Yuxin/0000-0003-0658-7562",1
"Wright, SJ_3","WOS:000373565900022
","Smithsonian Trop Res Inst, Apartado 0843-03092, Balboa, Panama.","","","","",2
"Muller-Landau, HC_1","WOS:000373565900022
","Smithsonian Trop Res Inst, Apartado 0843-03092, Balboa, Panama.","","","","",3
"Hubbell, SP_1","WOS:000373565900022
","Smithsonian Trop Res Inst, Apartado 0843-03092, Balboa, Panama.
Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles, CA 90095 USA.","","","","",4
"Wang, YF_2","WOS:000373565900022
","Sun Yat Sen Univ, Dept Ecol, Sch Life Sci, State Key Lab Biocontrol, Guangzhou 510275, Guangdong, Peoples R China.","","","","",5
