"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Muller-Landau, HC","Wilson, RP_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Riordan, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Ropert-Coudert, Y","Ropert-Coudert, Y_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Deem, SL_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Barlow, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Jimenez-Uzcategui, G","Jimenez-Uzcategui, G_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Naranjo, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Guerra, MA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Carpio, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Barragan, AR_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hardy, OJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Rios, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Garcia-Villacorta, R","Garcia-Villacorta, R_1",NA,NA,"Garcia-Villacorta, Roosevelt","","","","","",""
"Muller-Landau, HC","Guevara, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Vasquez-Martinez, R","Vasquez-Martinez, R_1",NA,NA,"Vasquez-Martinez, Rodolfo","","","","","",""
"Muller-Landau, HC","Ahuite, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cardenas, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Loizeau, PA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Percy, NV_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Spichiger, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Valderrama, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Morlon, H_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Green, JL_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cabrera, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Diaz, ML_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Lojan, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Ordonez, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Richter, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Dick, CW_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Salgado, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Puillandre, N_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Dupas, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Capdevielle-Dulac, C","Capdevielle-Dulac, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Barbin, K_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Torres-Leguizamon, M","Torres-Leguizamon, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Haug, I_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Setaro, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Suarez, JP_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Weiss, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Preussing, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Nebel, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Villegas-Amtmann, S","Villegas-Amtmann, S_1",NA,NA,"Villegas-Amtmann, Stella","","","","","",""
"Muller-Landau, HC","Costa, DP_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Tremblay, Y_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Aurioles-Gamboa, D","Aurioles-Gamboa, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Jacobsen, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Kessler, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Klein, AM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Tscharntke, T_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Buytaert, W_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Iniguez, V_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","De Bievre, B_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cabrera, W_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Russello, MA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hyseni, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cruz, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Tapia, W_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Velensky, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Landazuri, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Castillo, JM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Leira-Doce, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Carrion-Tacuri, J","Carrion-Tacuri, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Munoz-Guacho, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Arroyo-Solis, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Curado, G_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Doblas, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Rubio-Casal, AE_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Alvarez-Lopez, AA","Alvarez-Lopez, AA_1",NA,NA,"Alvarez-Lopez, Antonio A.","","","","","",""
"Muller-Landau, HC","Redondo-Gomez, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Berjano, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Guerrero, G_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","De Cires, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Figueroa, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Lacy, RC_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Johnson, PJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Crawford, RJM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Boersma, PD_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Scheldeman, X_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Willemen, L_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"d'Eeckenbrugge, GC","d'Eeckenbrugge, GC_1",NA,NA,"d'Eeckenbrugge, G. Coppens","","","","","",""
"Romeijn-Peeters, E","Romeijn-Peeters, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Restrepo, MT_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Motoche, JR_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Jimenez, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Lobo, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Medina, CI_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Rodriguez, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Ocampo, JA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Van Damme, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Goetgebeur, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Iglesias, JE_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Carrion, GV_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Mercier, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Ycaza, RH_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hamel, JF_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","LaFrankie, JV_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Ashton, PS_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Co, L_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Davies, SJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Lagunzad, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Losos, EC_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Nor, NSM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Tan, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Dobbs, RC_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Styrsky, JD_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Thompson, CF_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Kilpatrick, AM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Daszak, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Goodman, SJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Rogg, H_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Kramer, LD_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cedeno, V_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cunningham, AA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Wood, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cochrane, T_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Humphries, CA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Arevalo, VD_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Fischer, KN_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Anderson, DJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Vinueza, LR_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Branch, GM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Branch, ML_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Tierney, GL_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Fahey, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Eckhart, VM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Rushing, NS_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hart, GM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hansen, JD_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Harrison, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Rea, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Gottdenker, NL_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Walsh, T_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Merkel, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Jimenez, GU_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Dailey, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Becker, CD_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Agreda, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Astudillo, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Costantino, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Torres, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Townsend, WR_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Borman, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Yiyoguaje, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Mendua, L_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Thurber, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Arellano, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Ruttenberg, BI_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Haupt, AJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Bustarnante, MR_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hess, T_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Bengel, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Homeier, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Zech, W_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Farley, KA_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Kelly, EF_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Siren, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hamback, P_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Machoa, E_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hill, RI_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Vaca, JF_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Leimbeck, RM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Mullner, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Linsenmair, KE_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Wikelski, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Martinez, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Parra, JL_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Graham, CC_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
